,iso,country,reduction,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,continent,label
73,HTI,Haiti,3000,0.159,0.181,0.206,0.192,0.217,0.223,0.223,0.249,0.245,0.228,0.211,0.207,0.214,0.221,0.264,0.272,0.273,0.271,0.27,Americas,Haiti (3000 MT)
123,NIC,Nicaragua,5580,0.735,0.763,0.765,0.82,0.817,0.786,0.802,0.815,0.771,0.774,0.768,0.815,0.76,0.718,0.749,0.844,0.875,0.862,0.862,Americas,Nicaragua (5580 MT)
74,HND,Honduras,9920,0.751,0.831,0.865,0.938,0.995,0.996,0.978,1.1,1.06,0.943,0.954,1.02,1.04,1.05,1.04,1.08,1.04,1.02,1.04,Americas,Honduras (9920 MT)
69,GTM,Guatemala,18400,0.839,0.859,0.879,0.836,0.874,0.925,0.91,0.887,0.778,0.8,0.759,0.752,0.758,0.807,0.852,0.95,0.988,0.959,1.07,Americas,Guatemala (18400 MT)
135,PRY,Paraguay,7440,0.678,0.681,0.698,0.716,0.709,0.65,0.662,0.674,0.704,0.736,0.804,0.821,0.806,0.795,0.828,0.905,1.06,1.05,1.07,Americas,Paraguay (7440 MT)
53,SLV,El Salvador,7140,0.964,0.989,1.02,1.07,1.04,1.04,1.11,1.12,1.05,1.03,1.02,1.05,1.04,0.973,0.981,1.07,1.11,1.1,1.11,Americas,El Salvador (7140 MT)
18,BLZ,Belize,575,1.6,1.75,1.65,1.61,1.42,1.49,1.52,1.59,1.42,1.86,1.67,1.82,1.41,1.49,1.4,1.61,1.54,1.51,1.5,Americas,Belize (575 MT)
41,CRI,Costa Rica,8070,1.36,1.41,1.52,1.57,1.61,1.56,1.6,1.79,1.77,1.7,1.62,1.56,1.53,1.59,1.6,1.51,1.6,1.58,1.61,Americas,Costa Rica (8070 MT)
136,PER,Peru,55600,1.14,1.01,0.995,0.954,1.14,1.32,1.01,1.22,1.43,1.78,1.97,1.67,1.84,1.53,1.67,1.69,1.82,1.68,1.74,Americas,Peru (55600 MT)
37,COL,Colombia,97300,1.42,1.39,1.36,1.38,1.3,1.41,1.44,1.41,1.52,1.62,1.69,1.67,1.73,1.98,1.83,1.96,2.01,1.91,1.96,Americas,Colombia (97300 MT)
21,BOL,Bolivia,22300,1.31,0.999,1.18,1.24,1.22,1.31,1.59,1.27,1.34,1.38,1.49,1.57,1.79,1.79,1.87,1.81,1.92,1.94,1.96,Americas,Bolivia (22300 MT)
185,URY,Uruguay,6950,1.59,1.51,1.37,1.36,1.68,1.73,1.99,1.79,2.46,2.37,1.88,2.27,2.55,2.21,1.96,1.94,1.95,1.95,2.01,Americas,Uruguay (6950 MT)
163,VCT,St. Vincent and the Grenadines,224,1.36,1.67,1.73,1.83,2.03,2.03,2.03,2.1,2.1,2.88,2.03,1.83,2.33,1.92,2.02,2.02,2.01,2.02,2.03,Americas,St. Vincent and the Grenadines (224 MT)
24,BRA,Brazil,458000,1.86,1.88,1.83,1.75,1.81,1.84,1.82,1.88,1.98,1.86,2.1,2.18,2.31,2.46,2.59,2.42,2.2,2.23,2.18,Americas,Brazil (458000 MT)
162,LCA,St. Lucia,421,2.22,2.2,1.82,2.24,2.2,2.24,2.22,2.3,2.33,2.24,2.32,2.32,2.3,2.29,2.28,2.29,2.3,2.31,2.31,Americas,St. Lucia (421 MT)
50,DOM,Dominican Republic,24900,2.31,2.28,2.42,2.4,2.02,2.02,2.11,2.22,2.14,2.07,2.12,2.17,2.17,2.09,2.12,2.29,2.37,2.32,2.34,Americas,Dominican Republic (24900 MT)
68,GRD,Grenada,271,1.85,1.88,1.98,2.08,1.97,2.07,2.2,2.27,2.4,2.39,2.45,2.37,2.53,2.81,2.16,2.38,2.43,2.41,2.43,Americas,Grenada (271 MT)
51,ECU,Ecuador,41900,1.62,1.78,1.88,2,2.12,2.17,2.03,2.21,2.29,2.4,2.39,2.35,2.06,2.59,2.85,2.63,2.46,2.36,2.46,Americas,Ecuador (41900 MT)
44,CUB,Cuba,28600,2.33,2.27,2.32,2.26,2.21,2.3,2.34,2.29,2.47,2.5,3.02,2.6,2.62,2.46,2.43,2.57,2.48,2.48,2.53,Americas,Cuba (28600 MT)
